Codice comune,Comune,Totale maschi,Totale femmine,Totale
113001,Aggius,659,719,1378
113002,Aglientu,602,593,1195
113004,Arzachena,6796,6660,13456
113005,Badesi,899,913,1812
113006,Berchidda,1288,1316,2604
113007,Bortigiadas,350,342,692
113009,Budoni,2841,2844,5685
113010,Calangianus,1842,1850,3692
113011,Golfo Aranci,1152,1221,2373
113012,La Maddalena,5243,5206,10449
113013,Loiri Porto San Paolo,1991,1938,3929
113014,Luogosanto,940,898,1838
113015,Luras,1156,1213,2369
113016,Monti,1199,1207,2406
113017,Olbia,30530,31209,61739
113018,Oschiri,1461,1424,2885
113019,Padru,1074,1056,2130
113020,Palau,2057,2001,4058
113021,San Teodoro,2657,2567,5224
113023,Sant'Antonio di Gallura,706,726,1432
113022,Santa Teresa Gallura,2598,2546,5144
113024,Telti,1143,1138,2281
113025,Tempio Pausania,6412,6466,12878
